194,401,0,248.783,404.031,0.018,271.145,405.157,0.015,294.848,405,0.017,319.406,405,0.016,342.833,404,0.014,367.023,403.347,0.017,408.632,403,0.018,432.106,402.111,0.014,450.475,402,0.021,461.623,402,0.021,469.855,403.232,0.008,474.93,403,0.035,474,406.261,0.023,473.268,408.464,0.011,472.131,411.606,0.015,469.029,418.931,0.024,462.265,430.226,0.011,453.355,443.468,0.017,435.987,458.655,0.021,421.5,478,0.021,402.181,494.241,0.017,380.767,512.386,0.022,360.652,531.348,0.009,339.615,549.483,0.019,313.283,568.717,0.014,293.277,587.649,0.009,268.404,606.869,0.019,245.326,627.292,0.017,232.467,641.533,0.016,217.802,655.515,0.018,204.612,668.388,0.019,193.849,680.963,0.013,186.595,690.54,0.015,179.894,699.475,0.022,171.813,708.5,0.021,169.209,713.186,0.013,168.527,716.053,0.013,170.975,717,0.015,175.102,717,0.016,181.356,717,0.018,197.368,714.951,0.017,218.699,711.574,0.017,250.078,706.951,0.023,283.161,701.076,0.013,313.329,698.518,0.018,344.435,696.391,0.012,375.657,696,0.017,403.069,695.127,0.016,427.873,695.994,0.02,447.564,697.087,0.024,458.668,697.208,0.018,466.977,698.33,0.013,472.373,699,0.01,475.5,699,0.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1054,MCPP
180,403,0,210.126,404,0.01,228.246,404,0.015,248.05,402.644,0.017,270.948,401.053,0.017,295.118,399.404,0.022,317.866,398.307,0.015,360.909,397.198,0.013,395.483,397,0.017,421.539,397,0.021,442.862,397,0.019,464.505,398.275,0.017,481.655,400.812,0.01,491.5,403,0.019,493.314,405.314,0.013,494,408.343,0.017,494,410.837,0.019,491.929,417.213,0.021,487.515,424.85,0.011,480.412,437.912,0.023,467.72,448.669,0.017,454.508,463.49,0.011,437.24,479.861,0.015,418.839,497.921,0.02,398.251,516.985,0.015,376.034,536.97,0.016,356.982,559.374,0.023,333.993,578.506,0.027,314.081,596.919,0.022,281.708,633.477,0.013,265.113,652.338,0.013,249.21,669.632,0.017,234.449,684.551,0.021,219.852,693.707,0.019,215.088,700.094,0.012,212.072,702.928,0.017,213,704.965,0.036,222.357,704.33,0.017,237.739,703.204,0.013,256.946,700.186,0.017,281.483,696.798,0.017,305.983,692.276,0.017,334.508,689.099,0.02,360.184,685.672,0.022,390.618,680.905,0.018,418.294,675.814,0.02,444.924,670.883,0.011,465.439,668.184,0.011,486.629,666.967,0.014,498.691,667,0.017,507.315,668.289,0.017,510.634,668,0.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1020,MCPP
195,411,0,244.725,409.053,0.027,270.8,407.878,0.042,351.161,399.76,0.027,380.744,396.282,0.02,448.094,391.217,0.034,478.266,389.981,0.043,494.065,392.355,0.036,492.344,395.312,0.035,490.129,401.483,0.023,485.029,407.966,0.026,460.964,430.802,0.048,429.532,466.956,0.034,392.407,506.593,0.024,354.391,546.584,0.037,308.192,588.032,0.043,265.118,626.13,0.032,221.664,663.669,0.043,207.618,681.382,0.044,197.434,693.867,0.044,207.474,696,0.033,243.96,693.185,0.03,297.417,688.673,0.026,355.032,686,0.031,417.039,687,0.031,469.603,689.886,0.031,491.036,692.002,0.035,516.711,694.355,0.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1040,MCPP
180,407,0,216.218,412.024,0.017,236.455,413.136,0.018,260.269,414.251,0.014,284.139,414.63,0.021,309,413.5,0.023,335.106,413.371,0.01,380.786,412.264,0.015,410.652,412,0.015,433.008,414.001,0.016,452.68,415.258,0.018,467.449,417.739,0.018,480.43,421.041,0.015,486.837,424.378,0.018,489,427.785,0.025,489,431.828,0.009,488.178,436.286,0.017,483.206,441.794,0.017,472.155,453.93,0.018,456.293,469.883,0.013,436.018,486.667,0.017,412.243,506.483,0.018,388.588,524.7,0.016,368.195,543.805,0.024,347.553,563.634,0.017,331.07,582.701,0.018,297.055,621.693,0.017,277.031,638.384,0.016,260.5,656.934,0.024,246.667,667.866,0.017,234.8,679.545,0.009,225.481,686.942,0.017,223.101,690.698,0.032,223.079,693.039,0.018,229.969,696.485,0.019,241.72,698.827,0.016,253,701,0.016,276.184,703,0.016,300.199,703.748,0.02,328.574,704.868,0.021,359.276,705,0.011,393.519,705,0.015,414.701,703.765,0.021,441.67,705.377,0.018,456.629,705,0.013,469.106,705,0.014,479.724,705,0.021,485.389,705,0.019,488,705,0.177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,994,MCPP
186,403,0,218.401,404.963,0.018,236.02,405,0.015,255.012,405,0.012,274.983,403.648,0.017,298.291,404,0.026,319,404,0.015,359.529,404,0.009,394.25,404,0.016,419.237,403.08,0.02,445.218,401.947,0.014,465.471,400.807,0.016,486.784,401,0.026,495.366,402.437,0.025,498.556,405.556,0.009,499.351,408.947,0.018,496.669,414.662,0.036,479.285,437.658,0.019,461.007,453.118,0.011,442.283,471.972,0.015,419.596,491.258,0.017,395.579,513.942,0.016,373.076,535.694,0.017,348.665,558.593,0.018,322.996,580.525,0.017,300.358,601.66,0.02,272.698,623.754,0.03,233.89,660.792,0.017,218.374,673.013,0.012,208.242,685.352,0.013,200.724,693.276,0.02,198.205,698.181,0.017,199.866,701.799,0.013,202.164,703.082,0.016,208.078,703,0.022,216.498,704.357,0.019,235.361,701.164,0.012,260.893,698.889,0.014,287.862,696.621,0.021,316.841,694.382,0.022,344.668,694,0.013,378.583,692.947,0.012,409.82,693,0.015,438.821,693,0.021,460.611,693,0.018,475.125,693,0.014,485.994,693,0.016,490.425,693,0.02,492.5,693,0.052,496.302,691.94,0.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,988,MCPP
201,399,0,231.749,402.181,0.023,264.89,405.189,0.015,286.802,406.69,0.013,309.785,407,0.017,333.111,407,0.018,357.333,405.939,0.021,381.958,406,0.009,433.356,404.682,0.025,443.754,406.485,0.015,458.453,406.545,0.012,469.739,407,0.018,478.507,407.787,0.014,482.787,408.929,0.02,484.5,409.5,0.017,483,411.199,0.035,479.363,415.849,0.017,470.964,425.036,0.016,462.631,435.241,0.012,453.185,446.572,0.017,438.056,461.944,0.018,424.646,477.419,0.019,404.856,496.024,0.014,387.735,510.696,0.019,368.602,531.774,0.017,355.758,545.722,0.015,337.021,565.207,0.023,318.585,583.669,0.015,301.279,601.569,0.013,278.212,622.808,0.023,258.014,640.766,0.017,243.603,655.962,0.012,230.992,666.279,0.014,221.744,673.31,0.021,220.81,680.976,0.019,218.609,685.782,0.011,217.169,690.325,0.014,217,694.878,0.017,218.088,697.176,0.039,223.762,700.457,0.02,234.67,702,0.012,247.11,702,0.013,265.065,701.312,0.017,284.818,700.187,0.023,309.739,700,0.019,336.547,700,0.012,368.884,700,0.025,400.839,700,0.013,426.762,700,0.013,449.577,700,0.012,467,700,0.021,481.092,700.264,0.018,487.458,699.136,0.012,490,698.5,0.02,490.146,699,0.03,492.365,700.182,0.022,497.939,702.477,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1088,MCPP
201,410,0,279.362,412.011,0.015,314.075,412,0.012,348.508,412,0.017,383.859,412,0.022,412.768,412.568,0.022,438.485,413.658,0.014,476.821,416.371,0.014,492.348,418.837,0.017,496.111,421.074,0.022,496.813,423.562,0.011,495.544,427.14,0.017,492.426,434.148,0.018,486.954,443.061,0.026,476.978,455.299,0.013,464.378,470.058,0.013,446.977,487.147,0.014,427.889,506.111,0.025,404.057,527.382,0.017,381.642,546.15,0.009,357.966,567.627,0.015,336.788,585.729,0.019,317.689,602.492,0.038,285.105,635.283,0.013,269.646,653.205,0.016,254.161,667.026,0.019,244.776,678.632,0.015,239.349,686.302,0.014,238,689.915,0.009,238,692,0.033,247.843,693.669,0.016,265.416,694,0.019,283.164,692.927,0.016,309.429,690.615,0.016,336.567,689.685,0.023,361.948,688.568,0.02,391.253,689,0.012,421.126,688.341,0.012,449.896,688,0.017,478.786,687.085,0.018,501.902,687,0.016,521.908,687,0.023,530.522,687,0.019,536.173,687,0.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,894,MCPP
191,406,0,218.465,406,0.02,249.037,406,0.013,274.96,406,0.017,306,404.5,0.015,332,403.5,0.021,366.864,404,0.012,396.802,404,0.016,448.403,405.896,0.017,470.5,407.083,0.029,488.757,409.351,0.014,499.255,411.564,0.017,506.276,414.276,0.014,509.5,417.5,0.03,498.412,425.059,0.023,489.735,435.082,0.017,476.653,444.231,0.014,458.182,458.114,0.012,437.729,475.392,0.019,417.469,490.857,0.012,389,512,0.017,367.009,533.692,0.026,343.417,555.793,0.028,319.322,573.417,0.021,282.732,608.409,0.015,264.495,626.975,0.021,246.118,644.274,0.015,228.46,660.531,0.027,212.806,674.794,0.012,199.375,685.75,0.01,190.837,693.163,0.009,188.012,696.982,0.016,187,698.5,0.037,197.724,704.034,0.019,214.438,707.92,0.013,234.912,708.413,0.015,261.131,707.286,0.02,286.088,705.277,0.015,313.397,704.062,0.016,342.3,705.092,0.016,376.417,707.428,0.019,409.624,708.321,0.021,439.123,709.428,0.02,466.313,710.535,0.013,487.762,711,0.017,501.68,711,0.013,508.597,711,0.018,511.5,711,0.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,984,MCPP
184,411,0,237.459,404.354,0.014,268.502,400.98,0.014,297.092,398.393,0.018,322.602,397.064,0.017,348.676,395.972,0.015,377.518,394.819,0.022,402.767,393.706,0.014,442.906,393,0.03,458.955,393.541,0.018,480.504,396.501,0.014,483.807,398.807,0.025,485,400,0.014,484,402.179,0.031,482.806,405.583,0.022,480,409.5,0.017,474.178,419.631,0.011,464.327,433.638,0.014,454.124,448.376,0.019,436.167,466.833,0.024,420.823,483.261,0.013,396.656,506.137,0.012,376.413,526.587,0.016,357.996,546.475,0.017,339,566.5,0.017,317.666,586.617,0.019,297.89,606.94,0.014,274.774,628.299,0.016,253.401,649.599,0.018,240.546,666.067,0.017,227.223,681.407,0.023,216.54,692.906,0.023,211.195,703.436,0.018,203.994,713.342,0.011,198.803,720.795,0.011,197.07,724.791,0.013,200.161,727.107,0.017,204.715,727,0.018,214.392,727,0.017,228.819,725.598,0.017,257,721.5,0.015,286.763,715.716,0.022,318.468,710.871,0.028,349.621,705.603,0.017,418.294,699.773,0.017,451.7,697.469,0.016,475.887,696.614,0.019,503,695.5,0.02,516.526,695.386,0.021,522.875,695,0.012,526,695,0.028,524,692.925,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1033,MCPP
179,397,0,209.231,398.008,0.013,238.842,399.194,0.022,265.824,397.674,0.016,293.881,398,0.014,322,396.5,0.019,354.511,397,0.016,384.955,397,0.014,435.153,397,0.02,459.425,397,0.013,483.112,397,0.017,495.537,398.295,0.02,507.741,402.293,0.015,510.5,405.5,0.017,510,409.566,0.018,507.007,415.49,0.015,497.311,423.951,0.015,487.797,438.33,0.017,474.197,450.653,0.016,457.508,467.492,0.018,436.146,486.093,0.018,416,508.5,0.023,383.841,529.733,0.015,357.837,553.429,0.011,334.804,573.617,0.015,310.486,593.603,0.018,292.778,611.222,0.017,270.652,630.891,0.021,248.135,653.865,0.012,230.153,673.308,0.039,205.223,691.066,0.033,182.058,717.766,0.012,184.152,720.152,0.016,190.045,724.836,0.022,209.211,726.695,0.02,232.501,724.722,0.012,265.338,720.204,0.015,299.112,715.318,0.015,332.092,710.815,0.017,368.128,705.435,0.024,402.829,701.92,0.02,434.574,699.571,0.014,462.45,696.463,0.013,486.504,694.187,0.014,504.134,693,0.016,515.485,692.359,0.017,521.5,691.5,0.085,515.873,692,0.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,987,MCPP
