@relation EntrenamientoP1AEAP
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
186,404,0,221.448,396.925,0.017,240.002,394.375,0.017,258.827,393.069,0.017,276.857,390.893,0.017,295.92,391,0.016,316.26,392.292,0.019,336.494,393.416,0.016,387.5,399,0.017,398.476,399.31,0.016,418.023,400.779,0.016,434.551,401,0.017,452.3,401,0.017,465.673,401,0.016,480.441,402.265,0.017,489.413,403.379,0.019,492,404.5,0.016,494.236,405,0.015,496,405,0.049,495,407.358,0.018,490.55,408.112,0.017,488.304,410.696,0.018,483.137,415.863,0.017,470.54,431.047,0.016,459.616,442.384,0.016,443.865,456.493,0.017,428.692,471.308,0.016,409.812,484.839,0.017,391.951,501.858,0.03,370.1,514.726,0.008,352.363,535.046,0.014,330.485,552.961,0.019,310.533,571.793,0.013,289.871,591.333,0.017,271.365,607.805,0.017,254.442,625.595,0.017,243.445,637.71,0.016,232.215,655.177,0.018,218.21,662.193,0.017,214.391,672.175,0.017,209.435,679.847,0.015,206.477,684.285,0.017,205,686.5,0.017,206,687.004,0.048,204.878,689.244,0.02,202.022,693.467,0.016,197.179,697.428,0.016,193.819,701.908,0.018,192.149,706.403,0.015,191.028,708.944,0.017,190.5,710,0.049,194.339,710.113,0.019,199.875,710,0.016,208.943,709.306,0.016,220.961,708.185,0.017,238.926,707.063,0.017,253.748,705.943,0.017,274.209,706,0.016,287.878,706,0.018,309.553,704.58,0.017,327.5,705,0.016,352.17,701.681,0.016,376.412,699.437,0.017,398.141,700.804,0.017,419.473,703.05,0.017,440.677,707.564,0.016,458.269,710.8,0.017,474.802,712.774,0.018,491.5,713.5,0.017,500.635,714.252,0.015,508.493,714.251,0.017,513.478,714,0.017,515.98,714,0.016,517,714,0.067,512.679,716.214,0.017,502.155,714.287,0.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,1481,PAPR
174,387,0,200.571,385.978,0.018,224.522,386,0.018,238.719,386,0.016,248.028,385.397,0.016,258.505,385,0.016,267.746,384.157,0.018,275.745,384,0.016,292.293,382.914,0.017,300.616,381.798,0.017,309.604,380.674,0.018,318.569,381,0.018,330.697,381,0.015,341.156,381.684,0.016,353.728,382.811,0.016,365.29,383.929,0.017,375.463,384,0.017,387.867,385.17,0.017,397.635,386.293,0.018,406.308,387.413,0.016,421,388.5,0.017,429.893,391.31,0.016,439.983,393.552,0.016,450.961,394.896,0.017,459.131,397.038,0.017,468.097,399.274,0.017,480.861,404.04,0.016,490.426,407.142,0.018,497.5,410.5,0.017,508.95,413.237,0.015,515.711,415.484,0.017,520.446,416.862,0.017,522.968,417.984,0.017,524,418.5,0.032,524.116,420.232,0.019,521.065,422.935,0.017,513.883,431.881,0.016,501.797,441.663,0.016,488.882,453.947,0.017,471.811,469.291,0.017,454.886,482.891,0.016,432.204,499.847,0.017,416.301,511.446,0.018,390.95,529.464,0.017,373.619,542.725,0.016,353.871,558.433,0.016,336.038,571.772,0.017,315.618,587.723,0.017,300.516,599.372,0.016,280.202,615.176,0.017,265.101,628.342,0.018,246.568,640.422,0.017,238,655.5,0.016,226.241,659.199,0.016,218.434,664.805,0.017,210.828,670.409,0.017,201.981,677.015,0.016,194.123,682.627,0.017,188.774,686.981,0.019,185.901,688.733,0.017,185.526,690.948,0.063,189.947,691,0.018,194.369,691,0.017,207.312,689.79,0.016,219.648,688.668,0.019,231.966,687.549,0.016,244.165,688,0.016,254.255,687.305,0.018,265.983,687,0.015,277.369,686.063,0.017,290.664,684.945,0.017,304.111,685,0.016,317.594,685,0.017,332.455,686.42,0.018,342,686,0.017,358.583,687,0.016,371.597,687,0.016,386.605,687.9,0.017,400.299,688,0.017,414.831,689.141,0.027,430.735,690.267,0.018,445.238,691.385,0.022,457.055,693.011,0.015,468.859,694.624,0.009,480.463,696.493,0.01,489.072,697.867,0.016,496.917,698,0.017,502.544,696.891,0.017,506.916,697,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,1637,PAPR
198,397,0,212.082,393.75,0.019,226.998,391.091,0.017,237.183,392.576,0.016,249.331,393.694,0.016,263.612,394.816,0.017,278.155,395,0.025,294.832,395,0.014,333.993,393.824,0.011,347.444,392.704,0.018,374.186,391.582,0.017,393.134,391.542,0.016,410.564,392,0.016,427.747,392.783,0.017,445.438,393.902,0.017,458.252,397.069,0.019,468.268,400.423,0.014,480.884,403.786,0.018,483.539,404.385,0.016,485,405.5,0.032,485.267,407.535,0.033,482.464,408.268,0.018,480.891,409.054,0.017,477.319,411.454,0.016,473.95,413.7,0.019,467.661,418.871,0.016,462.029,424.565,0.016,456.437,431.988,0.017,449.145,438.182,0.016,439.418,443.768,0.017,430.392,451.532,0.016,421.446,464.136,0.017,405.839,473.881,0.019,389.881,485.371,0.016,371.621,501.703,0.016,352.094,516.51,0.016,333.194,531.405,0.017,312.473,545.07,0.017,296.395,561.648,0.017,276.134,573.751,0.016,259.722,593.849,0.018,241.515,608.674,0.017,227,630,0.017,216.502,643.997,0.015,207.882,656.647,0.017,202.478,664.283,0.017,196.967,670.033,0.016,195.875,674.499,0.017,193.503,678.993,0.033,194,680.489,0.05,194,682.357,0.067,192.932,684.135,0.033,190.464,686.536,0.034,188.464,688.536,0.033,187.732,690.536,0.034,190.2,691.1,0.05,193.327,691.336,0.018,195.568,691,0.016,201.425,691,0.017,213.274,694.075,0.017,224.432,695.143,0.016,239.461,697.532,0.02,251.256,699.774,0.015,268,699,0.017,291.122,702.375,0.015,318.496,701.25,0.017,343.228,701,0.017,370.754,701.99,0.017,396.6,705.339,0.016,416.194,711.165,0.017,437.677,711.351,0.018,458.925,713.939,0.017,482.073,712.406,0.016,505.964,711.287,0.016,523.686,710.165,0.017,540.302,709.047,0.017,551.782,707.922,0.016,560.571,705.607,0.017,568.235,704.681,0.018,570.311,703.563,0.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1636,PAPR
187,401,0,238.001,405.615,0.016,265.269,406,0.018,289.082,403.902,0.017,327.195,408.028,0.018,343.23,407.419,0.016,366.228,404.354,0.017,391.827,403,0.017,414.038,403.304,0.018,429.722,399.456,0.016,443.5,396.214,0.016,455.134,394.973,0.016,464.071,396,0.018,470.5,397.5,0.016,474,397,0.033,476.057,401.115,0.033,480.536,403.536,0.033,484.055,406.055,0.05,483.315,411.37,0.017,478.226,417.699,0.017,466.17,432.162,0.017,452.539,445.051,0.016,433.464,461.832,0.015,416.021,478.206,0.017,393.938,497.062,0.017,367.481,515.013,0.018,343.23,535.924,0.016,319.571,555.572,0.017,303.424,571.672,0.016,286.26,591.425,0.018,273.093,606.652,0.016,260.053,624.947,0.017,246.672,640.525,0.016,235.464,654.843,0.018,227.5,661.5,0.016,224.21,666.579,0.017,220.934,675.132,0.017,216.471,686.323,0.018,211,692.5,0.016,209.732,695.536,0.034,212.321,698.107,0.018,228.586,699,0.017,248.674,700,0.016,271.581,698.674,0.017,288,697.5,0.017,309.277,695.383,0.016,330.444,694,0.017,349.593,693,0.017,368,693,0.017,387.734,692,0.017,408.132,692,0.018,424.77,693.253,0.017,440.46,694.494,0.017,454.425,695.737,0.017,466.867,697.978,0.016,482.312,699.219,0.017,494.739,701.457,0.017,504.405,703.81,0.017,508,705,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,2322,PAPR
189,401,0,216.69,397.308,0.017,230.751,396.187,0.017,242.31,395.069,0.017,255.642,395,0.017,269.061,395,0.017,283.799,395,0.017,301.245,393.584,0.017,341.5,392.5,0.016,350.822,389.686,0.016,367.113,387.444,0.017,383.444,387,0.017,397.126,385.99,0.016,406.106,386,0.017,420.12,387.26,0.017,429.426,388.381,0.018,436.5,388,0.017,449.192,389,0.015,457.465,389.744,0.017,466.757,390.862,0.017,475.856,392.964,0.016,483.718,394.103,0.017,489.114,396.446,0.017,492.04,397.347,0.019,493.931,397,0.014,496,398.5,0.033,496.268,400.535,0.033,493.953,402.047,0.018,491.624,404.376,0.017,488.066,409.245,0.018,484.705,413.727,0.016,477,418,0.017,465.275,430.725,0.016,457.235,440.354,0.017,446.874,447.475,0.016,434.637,457.297,0.017,425.751,468.561,0.016,415.517,474.655,0.018,398.401,481.4,0.018,390.5,494,0.016,375.395,504.07,0.016,364.177,514.581,0.016,351.465,526.657,0.017,338.996,536.003,0.017,328.911,544.968,0.016,315.105,557.653,0.017,304.349,567.286,0.018,297.633,572.886,0.017,282.369,585.631,0.017,270.752,595.074,0.015,257.016,604.604,0.017,247.29,616.601,0.018,239.379,626.798,0.015,231.557,633.237,0.017,223.707,643.948,0.018,218.749,651.152,0.017,216.293,657.276,0.016,212.248,661.752,0.016,207.766,667.851,0.017,202.346,675.516,0.017,196.743,682.309,0.017,193.492,687.847,0.016,191.413,689.587,0.017,189.173,691.827,0.032,188.732,693.536,0.12,191.123,691.938,0.016,194.237,691,0.016,198.696,690.261,0.016,202.5,689.5,0.049,215.845,690,0.026,232.497,690,0.027,245.039,690,0.019,272.463,690,0.013,287.548,690,0.017,304.208,690,0.018,337.036,691.068,0.016,351.634,691,0.016,371.301,692.312,0.019,383.137,692,0.017,402,692,0.015,413.376,692,0.016,427.482,692,0.017,443.714,692,0.017,456.363,692,0.017,469.869,693.156,0.016,485.834,694.274,0.017,495.951,694,0.018,508.5,695.5,0.017,512.54,696,0.015,516,696,0.033,516.536,694.732,0.018,513.883,692.883,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,1817,PAPR
185,397,0,201.021,397,0.018,214.554,397,0.017,229.209,397,0.017,242.421,397,0.018,258.876,397,0.017,275.14,396.391,0.015,291.979,395.268,0.017,322.338,393.301,0.017,338.637,392.03,0.017,356.481,392,0.016,371.942,390.79,0.017,388.975,389.668,0.018,404.402,388.543,0.017,421.214,388,0.016,439.837,388,0.016,456.428,388,0.017,471.182,389.874,0.017,484.718,391.06,0.016,494.513,393.336,0.017,503.411,394.301,0.018,508.108,395.422,0.015,510.5,396.5,0.033,505.647,399.569,0.017,498.681,404.514,0.017,489.8,412.175,0.017,478.548,421.162,0.017,459.741,438.993,0.017,443.197,450.255,0.018,420.5,468.5,0.017,402.128,486.247,0.024,380.782,504.225,0.012,364.742,523.587,0.013,345.178,539.862,0.017,329.478,559.957,0.016,305.192,575.205,0.017,288.399,597.652,0.018,267.436,613.136,0.017,250.854,631.741,0.015,238.117,648.467,0.017,225.796,659.694,0.016,218.255,668.66,0.017,213.697,676.531,0.017,206.808,684.391,0.017,200.084,688.278,0.018,197.674,691.326,0.016,194.5,696,0.033,194.732,696.536,0.065,193.943,698.115,0.035,191.473,699.264,0.017,192,702,0.082,195.125,702.042,0.018,197.745,700.627,0.018,202.973,698.014,0.017,210.265,699,0.015,218.843,698.27,0.017,230.403,696.29,0.016,242.734,696.976,0.017,253.92,697,0.017,268.763,697,0.016,280.701,698.336,0.019,294.537,696.539,0.017,311.656,698,0.015,327.776,698,0.017,341.8,698.817,0.016,358.114,699,0.017,369.596,700.06,0.016,384.402,698.815,0.018,398.897,701.599,0.018,413.47,701,0.016,432,701,0.017,451.282,699.663,0.016,468.556,698.43,0.016,485.57,699.809,0.017,498.274,700,0.017,511.799,702.3,0.016,520.142,703.268,0.017,524.955,703,0.018,527.5,704.5,0.015,529,704,0.033,520.751,704,0.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1600,PAPR
194,410,0,220.214,403.951,0.018,241.35,400.442,0.017,260.175,398.391,0.018,274.989,394.717,0.017,290,391.5,0.016,307.036,388.993,0.016,323.034,386.424,0.017,356.952,383.269,0.016,379.589,381.969,0.018,399.725,382,0.016,418.63,380.728,0.017,437.667,379.608,0.018,455,378.5,0.016,469.495,381.266,0.016,484.035,383.506,0.017,493.142,385.755,0.016,498.981,386.996,0.017,501.233,388.117,0.032,499.821,390.358,0.018,497.038,391.481,0.032,491.833,395.889,0.018,487.642,402.876,0.017,482.192,408.808,0.017,476.6,415.48,0.017,466.175,427.028,0.016,457.477,440.785,0.019,444.095,451.459,0.016,424.093,471.342,0.017,404.279,490.035,0.015,382.715,507.262,0.017,364.142,526.715,0.017,344.148,541.615,0.016,329.82,557.348,0.017,311.38,569.176,0.018,301.886,582.937,0.017,289.5,600.5,0.017,276.149,615.401,0.015,264.503,630.269,0.017,252.163,647.308,0.017,240.853,662.191,0.016,225.11,677.89,0.017,218.226,691.041,0.017,208.965,699.035,0.018,206.039,709.412,0.017,197.919,715.465,0.015,193.796,719.938,0.017,192.141,722.718,0.017,192,724.96,0.016,192,726,0.049,194.231,726.116,0.02,201.82,726,0.016,213.742,725.296,0.016,228.519,723.354,0.017,245.148,722.057,0.016,260.923,719.868,0.017,276.571,718.816,0.016,289.725,717.69,0.019,308.817,715.148,0.017,330.5,713,0.016,351.05,706.324,0.016,371.425,703.421,0.017,391.39,702.089,0.016,405.398,702,0.017,421.115,702,0.016,432.995,703.272,0.017,448.173,698.806,0.018,459.5,701.5,0.017,474.873,699.366,0.015,489.054,698.246,0.017,503.386,698,0.017,514.983,698,0.017,525.048,699.116,0.016,533.921,696.52,0.017,540.157,697,0.017,540.956,697,0.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,1436,PAPR
186,399,0,218.563,402.57,0.018,233.737,403.903,0.016,248.324,405.025,0.017,262.858,405,0.017,276.17,405,0.016,290.956,405,0.018,305.5,403.5,0.017,335.123,404,0.016,353.406,404,0.016,369.277,403.133,0.017,386.777,402.014,0.017,399.196,398.674,0.017,413.982,395.312,0.016,431.199,391.96,0.018,445.093,391.531,0.017,460,392,0.016,473.222,393,0.016,484.479,393.831,0.017,490.756,394,0.017,495.252,395.063,0.017,497.388,396.194,0.032,494.566,397.217,0.018,492,398.5,0.017,486.304,405.369,0.017,480.235,411.765,0.017,470.768,422.147,0.016,461.719,434.386,0.017,453.912,445.555,0.016,441.016,459.255,0.017,428.654,474.136,0.018,421,484,0.023,404.718,501.645,0.009,392.445,515.065,0.032,376.835,531.165,0.03,349.711,562.289,0.028,324.101,594.671,0.031,301.088,620.686,0.014,287.691,635.309,0.016,277.276,651.608,0.017,267.364,663.595,0.016,255.072,679.181,0.017,247.668,688.712,0.017,241.059,696.264,0.018,234.347,705.537,0.017,226.624,712.814,0.016,221.95,716.367,0.017,219.388,717.806,0.016,218,718.5,0.017,217.978,720.043,0.116,219.077,717.847,0.067,217.926,715.852,0.034,212.929,713.464,0.016,208.823,711.548,0.019,207.147,709.295,0.017,206.5,708,0.018,208.046,706.908,0.014,211.632,704.579,0.017,215.018,702.322,0.017,219.81,701.547,0.017,230.771,698.846,0.016,240.593,698,0.017,250.387,697.179,0.016,263.27,697,0.017,274.595,698.06,0.017,284.602,698,0.017,295.983,696.702,0.016,309.966,698.414,0.018,323,696.5,0.017,340.903,696.34,0.015,360.888,696,0.017,381.277,695.096,0.017,401.41,695,0.017,421.584,696.144,0.016,439.136,698.517,0.017,457.183,699.386,0.018,470.5,700.5,0.017,485.241,701,0.015,495.735,700.252,0.018,504.941,700,0.016,509.936,700.984,0.017,512,701.5,0.049,505.532,701,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1727,PAPR
190,398,0,221.409,388.252,0.017,252.809,383.135,0.016,272.625,381.257,0.017,291.647,380.138,0.017,311.676,379.018,0.017,330.744,377.897,0.016,351.01,378,0.017,394.134,379.347,0.018,406.916,379,0.017,421.205,380.586,0.016,436.911,382.416,0.016,450.923,383.827,0.017,462.473,385.895,0.017,474.723,387.066,0.019,484.656,389.368,0.016,490.843,391.614,0.016,496.124,392.425,0.017,497.097,395.097,0.015,499,397,0.049,495.643,398.357,0.018,492.766,401.234,0.017,490.448,406.103,0.018,486.817,410.577,0.017,482,416.5,0.016,473.308,428.957,0.016,463.196,439.804,0.016,453.979,450.777,0.018,439.024,464.978,0.016,425.572,477.309,0.019,410.891,493.349,0.015,393.597,507.683,0.017,381.24,522.24,0.017,363.781,540.219,0.016,347.435,556.565,0.016,333.747,571.094,0.017,316.551,587.483,0.017,304.076,598.84,0.016,289.342,613.658,0.017,274.769,628.231,0.018,264.547,638.453,0.017,252.489,652.075,0.016,245.563,660.812,0.016,239.968,667.839,0.017,232.525,675.475,0.017,226.752,682.298,0.016,222.331,687.837,0.017,219.126,692.166,0.017,215.76,696.654,0.018,214,702.5,0.016,213,705.958,0.016,213,708.5,0.066,216.153,707,0.017,218.753,705.623,0.019,220.993,704.504,0.017,232.011,701.535,0.015,245.096,698.528,0.017,259.167,696.282,0.016,273.714,696,0.017,284.985,696,0.017,299.876,694.779,0.016,311.701,693.664,0.019,327.025,691.073,0.016,343.735,689.835,0.016,361.248,688.297,0.017,378.388,688,0.016,394.235,687.055,0.017,408.855,688.066,0.017,422.204,686.816,0.016,436.966,685.695,0.019,448.705,686,0.016,457.5,686,0.017,462.345,685,0.015,467.154,685,0.017,470.731,685.91,0.017,474.099,687.033,0.017,477.446,685.851,0.016,479.541,687.27,0.017,481.786,687,0.018,484,687,0.017,487.262,687.631,0.015,489.503,688,0.017,491.747,688,0.017,493,688,0.017,495.169,689.056,0.032,498.534,689,0.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,1663,PAPR
204,397,0,249.474,396,0.017,272.697,392.061,0.017,297.787,389.292,0.016,334.493,391,0.017,359.472,391,0.017,384.218,392.87,0.017,406.064,393,0.016,425.317,393,0.017,442.239,393,0.017,457.407,393,0.017,472.478,394,0.016,486.391,394.878,0.017,494.369,395,0.017,501.087,395,0.065,493.097,400.935,0.017,483.958,411.042,0.017,462.506,425.146,0.016,439.975,447.554,0.016,414.804,473.33,0.018,389.265,499.256,0.012,363.417,520.167,0.019,335.745,546.574,0.016,306.055,573.041,0.016,276.13,598.438,0.017,251.382,621.233,0.016,234.369,638.256,0.016,219.659,656.209,0.017,212.674,663.326,0.017,205.6,672.4,0.018,196.63,679.37,0.016,190.334,685.666,0.017,188.964,688.072,0.065,189.055,690.027,0.018,195.218,688.594,0.019,207.22,688,0.016,222.089,688.886,0.017,245.289,689,0.016,275.557,691.37,0.019,300.716,692.611,0.015,328.944,694.853,0.016,358.414,696.094,0.017,389.067,697.338,0.018,415.038,697.574,0.016,442.825,699.819,0.017,464.518,701,0.017,487.016,703.302,0.019,506.5,703,0.017,520.126,702.218,0.017,525.5,700.5,0.032,512.688,696.229,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,1936,PAPR
